Mã ngành,Tên ngành,Chương trình đào tạo (CQ),số QĐ ban hành (CQ),Ghi chú
7340122,Thương mại điện tử,Quản trị thương mại điện tử,12212, 12/12/2024,Co-op
7340123,Thương mại điện tử,Truyền thông kinh doanh số,12212, 12/12/2024,Co-op
7310205,Quản lý nhà nước,Quản lý nhà nước,12094, 09/12/2024,
7340406,Quản trị văn phòng,Quản trị văn phòng,12095, 09/12/2024,
7310101,Kinh tế,Kinh tế ngoại thương,12588, 20/12/2024,
7310101,Kinh tế,Quản lý kinh tế,12588, 20/12/2024,
7340101,Quản trị kinh doanh,Quản trị kinh doanh tổng hợp,11189, 12/11/2024,
7340101,Quản trị kinh doanh,Quản trị tài chính,11189, 12/11/2024,
7340101,Quản trị kinh doanh,Quản trị Marketing,11189, 12/11/2024,
7340101,Quản trị kinh doanh,Quản trị Kinh doanh nông nghiệp,11189, 12/11/2024,
7340101,Quản trị kinh doanh,Khởi nghiệp và quản trị kinh doanh,11189, 12/11/2024,
7340101,Quản trị kinh doanh,Quản trị kinh doanh tổng hợp (dạy và học bằng tiếng Anh),11189, 12/11/2024,
7340301,Kế toán,Kế toán tổng hợp,11190, 12/11/2024,
7340201,Tài chính – Ngân hàng,Ngân hàng,12589, 20/12/2024,
7140202,Giáo dục Mầm non,Giáo dục Mầm non,12590, 20/12/2024,Cao đẳng
7140201,Giáo dục Mầm non,Giáo dục Mầm non,12591, 20/12/2024,
7140226,Sư phạm Tiếng Khmer,Sư phạm Tiếng Khmer,12592, 20/12/2024,
7140217,Sư phạm Ngữ văn,Sư phạm Ngữ văn,12593, 20/12/2024,
7210201,Âm nhạc học,Âm nhạc Khmer Nam bộ,12259, 13/12/2024,
7210210,Biểu diễn Nhạc cụ truyền thống,Biểu diễn Nhạc cụ truyền thống Khmer Nam bộ,12260, 13/12/2024,
7229040,Văn hóa học,Văn hóa học; Văn hóa Truyền thống; Văn hóa Du lịch,12261, 13/12/2024,
7810103,Quản trị dịch vụ du lịch và lữ hành,Quản trị dịch vụ du lịch và lữ hành; Quản trị nhà hàng; Quản trị sự kiện,12262, 13/12/2024,
7220106,Ngôn ngữ Khmer,Ngôn ngữ Khmer,12599, 20/12/2024,
7510205,Công nghệ kỹ thuật ô tô,Công nghệ kỹ thuật ô tô,12502, 19/11/2024,
7510201,Công nghệ kỹ thuật cơ khí,Công nghệ kỹ thuật cơ khí,12503, 19/11/2024,Co-op
7580205,Kỹ thuật xây dựng công trình giao thông,Kỹ thuật xây dựng công trình giao thông,12594, 20/12/2024,
7510102,Công nghệ kỹ thuật công trình xây dựng,Công nghệ kỹ thuật công trình xây dựng,12595, 20/12/2024,
7480201,Công nghệ thông tin,Công nghệ thông tin,12506, 19/11/2024,
7480201,Công nghệ thông tin,Công nghệ thông tin (Dạy và học bằng tiếng Anh),12506, 19/11/2024,
7510301,Công nghệ kỹ thuật điện, điện tử,Hệ thống điện,12504, 19/11/2024,
7510301,Công nghệ kỹ thuật điện, điện tử,Công nghệ kỹ thuật điện, điện tử,12504, 19/11/2024,
7510303,Công nghệ kỹ thuật điều khiển và tự động hóa,Tự động hoá,12505, 19/11/2024,
7510303,Công nghệ kỹ thuật điều khiển và tự động hóa,Thiết kế vi mạch bán dẫn,12505, 19/11/2024,
7420201,Công nghệ sinh học,Công nghệ sinh học,12264, 13/12/2024,Co-op
7310201,Chính trị học,Chính trị học,12265, 13/12/2024,
7380101,Luật,Luật học,11840, 03/12/2024,
7380101,Luật,Luật học (Co-op),11840, 03/12/2024,Co-op
7380101,Luật,Luật dân sự,11840, 03/12/2024,
7380101,Luật,Luật hình sự,11840, 03/12/2024,
7380101,Luật,Luật thương mại,11840, 03/12/2024,
7220201,Ngôn ngữ Anh,Ngôn ngữ Anh,12596, 20/12/2024,
7220204,Ngôn ngữ Trung Quốc,Ngôn ngữ Trung Quốc,12597, 20/12/2024,
7140202,Giáo dục Tiểu học,Giáo dục Tiểu học,12598, 20/12/2024,
7760101,Công tác xã hội,Công tác xã hội trong lĩnh vực y tế,12257, 13/12/2024,
7760101,Công tác xã hội,Công tác xã hội,12257, 13/12/2024,
7810301,Quản lý thể dục thể thao,Quản lý thể dục thể thao,12258, 13/12/2024,
7540101,Công nghệ thực phẩm,Công nghệ thực phẩm,12263, 13/12/2024,Co-op
7620101,Nông nghiệp,Kỹ thuật cây trồng,12268, 13/12/2024,Co-op
7620101,Nông nghiệp,Nông nghiệp nông thôn,12268, 13/12/2024,
7620112,Bảo vệ thực vật,Bảo vệ thực vật,12269, 13/12/2024,Co-op
7.3E+07,Nuôi trồng Thủy sản,Kỹ thuật nuôi trồng thủy sản,12270, 13/12/2024,Co-op
7640101,Thú y,Bác sĩ Thú y,12214, 12/12/2024,Co-op
7850101,Quản lý tài nguyên và môi trường,Quản lý tài nguyên và môi trường,12215, 12/12/2024,
7520320,Kỹ thuật môi trường,Kỹ thuật môi trường,12708, 24/12/2024,
7720501,Răng - Hàm - Mặt,Bác sĩ Răng Hàm Mặt,12216, 12/12/2024,
7720101,Y khoa,Bác sĩ Y khoa,12217, 12/12/2024,
7720110,Y học dự phòng,Bác sĩ Y học dự phòng,12219, 12/12/2024,
7720701,Y tế công cộng,Y tế công cộng,12218, 12/12/2024,
7720301,Điều dưỡng,Điều dưỡng,12220, 12/12/2024,
7720301,Điều dưỡng,Điều dưỡng Hộ sinh,12220, 12/12/2024,
7720201,Dược học,Dược học,12221, 12/12/2024,
7720601,Kỹ thuật xét nghiệm y học,Kỹ thuật xét nghiệm y học,12222, 12/12/2024,
7720602,Kỹ thuật hình ảnh y học,Kỹ thuật hình ảnh y học,12223, 12/12/2024,
7720603,Kỹ thuật Phục hồi chức năng,Vật lý trị liệu – Phục hồi chức năng,12224, 12/12/2024,
7720203,Hoá dược,Hoá dược,12266, 13/12/2024,
7510401,Công nghệ kỹ thuật hóa học,Công nghệ xử lý nước; Hóa học thực phẩm; Công nghệ nano,12267, 13/12/2024,Co-op
