course_code,course_name,credits,theory_hours
000001,Sinh hoạt lớp,5,0
000002,Đồ án tốt nghiệp,7,0
000003,Đồ án tốt nghiệp,10,0
000004,Khóa luận tốt nghiệp,7,0
000005,Khóa luận tốt nghiệp,10,0
000006,Đồ án tốt nghiệp,5,0
000007,Cơ sở ngành,3,0
000008,Chuyên ngành,4,0
000009,Cơ sở ngành,2,0
000010,Chuyên ngành,3,0
000011,Cơ sở ngành,4,0
000012,Cơ sở ngành (LLNN & PL),5,0
000013,Chuyên ngành (Luật dân sự),5,0
000014,Cơ sở ngành (Kinh tế học),3,0
000015,Chuyên ngành (KTTC nâng cao),4,0
000016,Cơ sở ngành(TLTE2-TCCHĐ......),4,0
000017,Chuyên ngành(PPDM ở TrườngMN),3,0
000018,Cơ sở ngành (LLNN&PL),3,0
000019,Chuyên ngành (Luật Thương mại),4,0
00002,Lý Thuyết Nghề (TN),1,0
000020,Chuyên ngành (Luật dân sự),4,0
000021,Chuyên ngành (Luật hình sự),4,0
000022,Ôn thi tốt nghiệp,0,0
000023,Chính trị (tốt nghiệp),2,0
000024,Kiểm tra năng lực tiếng Anh đầu vào,0,0
000025,Chuyên đề 1 (SHĐK),0,5
000026,Chuyên đề 2 (SHĐK),0,5
000027,Chuyên đề 3 (SHĐK),0,5
000028,Chuyên đề 4 (SHĐK),0,0
000029,Chuyên đề 5 (SHĐK),0,0
00003,Thực Hành Nghề (TN),1,15
000030,Chuyên đề 6 (SHĐK),0,0
000031,Chuyên đề 7 (SHĐK),0,0
000032,Chuyên đề 8 (SHĐK),0,0
000033,Cơ sở ngành (Dược lý thú y),3,0
000034,Chuyên ngành (Bệnh truyền nhiễm thú y),4,0
000035,Cơ sở ngành (Tâm lý học trẻ em 2 + Tổ chức các hoạt động theo hướng tích hợp),3,0
000036,Chuyên ngành (Lý luận và phương pháp phát triển ngôn ngữ cho trẻ +Lý luận và phương pháp hướng dẫn trẻ làm quen với môi trường xung quanh),4,0
000037,Cơ sở ngành (Giải phẩu - sinh lý),3,0
000038,"Chuyên ngành (Chăm sóc sức khỏe người lớn bệnh Nội khoa,Chăm sóc sức khỏe người lớn bệnh Ngoại khoa, Chăm sóc sức khỏe trẻ em)",4,0
000039,Chuyên ngành (Nghiệp vụ ngân hàng),4,0
00004,Cơ Sở Ngành (Tốt nghiệp CĐ),4,0
000040,"Cơ sở ngành (Vệ sinh trẻ em, Tâm lý học trẻ em)",3,0
000041,"Chuyên ngành (Phương pháp hướng dẫn trẻ làm quen với môi trường xung quanh, Phương pháp phát triển ngôn ngữ cho trẻ em)",4,0
000042,Giáo dục chính trị (TN),2,0
000043,Lý thuyết tổng hợp NN (Tâm lý học trẻ em và Vệ sinh trẻ em),2,0
000044,Thực hành nghề nghiệp (Phương pháp phát triển ngôn ngữ cho trẻ em và phương pháp hướng dẫn trẻ làm quen với môi trường xung quanh),2,0
000045,Tốt nghiệp,7,0
000046,Cơ sở ngành (Academic Reading),3,0
000047,Chuyên ngành (Academic Writing),4,0
000048,"Cơ sở ngành (mạch điện, máy điện)",3,0
000049,"Chuyên ngành (Mạng CC điện, ngắn mạch trong HTĐ)",4,0
00005,Chuyên Ngành (Tốt nghiệp CĐ),4,60
000050,Cơ sở ngành (Mạch điện),2,0
000051,Chuyên ngành (Cung cấp điện),3,0
000052,Cơ sở ngành (hóa phân tích),3,0
000053,"Chuyên ngành (Bào chế, dược lý, dược liệu,PL - TCQL)",4,0
000054,Cơ sở ngành (sức bền vật liệu),3,0
000055,"Chuyên ngành (HS, HH, VS, KST)",7,0
000056,Cơ sở ngành (Dinh dưỡng và vệ sinh an toàn thực phẩm),3,0
000057,Chuyên ngành (LT+TH),7,0
000058,Cơ sở ngành (LT),3,0
000059,Chuyên ngành (TH),4,0
00006,Kinh Tế Chính Trị (Tốt Nghiệp),2,0
000060,Cơ sở ngành (Kinh tế nông thôn),3,0
000061,Chuyên ngành (Quản lý dự án phát triển),4,0
000062,Lý thuýêt tổng hợp nghề nghiệp (Tâm lý - Giáo dục; Tiếng Việt),2,0
000063,Thực hành nghề nghiệp (Phương pháp dạy học Tiếng Việt; Phương pháp dạy học Toán),2,0
000064,Lý thuyết tổng hợp nghề nghiệp (Tâm lý học trẻ em; Vệ sinh trẻ em),2,0
000065,Giáo dục chính trị (Tốt nghiệp),2,0
000066,Thực hành nghề nghiệp (Phương pháp phát triển ngôn ngữ cho trẻ em; Phương pháp hướng dẫn trẻ làm quen với môi trường xung quanh),2,0
000067,Tiếng Anh,4,0
000068,Tin học,2,30
000069,"Chuyên ngành (Quản trị nguồn nhân lực, kỹ thuật tổ chức và điều hành công sở, soạn thảo văn bản)",4,0
00007,Hỗ trợ trình ứng dụng VP,4,0
000070,Cơ sở ngành (Dịch tễ học),3,0
000071,"Chuyên ngành (Tổ chức quản lý y tế, Dinh dưỡng an toàn vệ sinh thực phẩm, Sức khỏe môi trường và thảm họa)",4,0
000072,Tin học,2,0
000073,Lập trình cơ bản,4,0
000074,Hướng dẫn đăng ký môn học trực tuyến,0,0
000075,Giáo Dục Thể Chất (TC->ĐH),3,0
000076,Chính trị,2,0
000077,Pháp luật,1,0
000078,Xử lý ảnh cơ bản,3,22
000079,Thiết kế quảng cáo,3,0
00008,Lý Thuyết  Nghề (TN Nghề),1,0
000080,Thiết kế sản phẩm,4,38
000081,Hệ quản trị CSDL,4,0
000082,Biên tập ảnh nghệ thuật,4,0
000084,Chuyên ngành,5,0
00009,Thực Hành Nghề (TN Nghề),2,0
000091,Co-op 1 (KTHP),3,0
000092,Co-op 2 (KTHP),3,0
000093,Co-op 3 (KTHP),3,0
000094,Co-op 4 (KTHP),3,0
000095,Co-op 5 (KTHP),3,0
000096,Co-op 6 (KTHP),3,0
000097,Co-op 7 (KTHP),3,0
000098,Co-op 3 (KTHP),4,0
000099,Co-op 4 (KTHP),4,0
00010,Chính Trị (Tốt Nghiệp),0,0
000100,Cơ sở ngành (Kỹ thuật tổ chức và điều hành công sở),3,0
000101,Chuyên ngành (Quản trị nguồn nhân lực + Kỹ thuật xây dựng và ban hành văn bản),4,0
000102,Co-op 1,4,0
000103,Co-op 2,4,0
000104,Đồ án tốt nghiệp,8,0
000105,Co-op 1,6,0
000106,Co-op 2,6,0
000107,Co-op 3,6,0
000108,Co-op 4,6,0
000109,Co-op 1,8,0
00011,Thi Tốt Nghiệp,8,0
000110,Co-op 2,8,0
000111,Co-op 3,8,0
000112,Co-op 3,4,0
000113,Co-op 4,4,0
