MaDV,TenDV
HHUD,Khoa Hóa Học ứng Dụng
BMCKDL,Bộ môn Cơ khí - Động lực
BMVHH-XHH,Bộ môn Văn hóa học
"QLNN,QTVP&","Khoa Quản lý Nhà nước, Quản trị Văn phòng và Du lịch"
BMCNTY,Bộ môn Chăn nuôi Thú y
"QLNN,QTVP&","Khoa Quản lý Nhà nước, Quản trị Văn phòng và Du lịch"
BMCNTY,Bộ môn Chăn nuôi Thú y
SP,Khoa Sư Phạm
BMTS,Bộ môn Thủy sản
KT-CN,Khoa Kỹ thuật và Công nghệ
BMCKDL,Bộ môn Cơ khí - Động lực
BMKTO,Bộ môn Kế toán
BMXD,Bộ môn Xây dựng
BMCNTY,Bộ môn Chăn nuôi Thú y
BMCKDL,Bộ môn Cơ khí - Động lực
BML,Bộ môn Luật
KNNVHNTKMNB_TRUONG.N,Khoa Ngôn ngữ - Văn hóa - Nghệ thuật Khmer Nam Bộ
BMKTO,Bộ môn Kế toán
BMXD,Bộ môn Xây dựng
BMDL,Bộ môn Du lịch
BMVHH-XHH,Bộ môn Văn hóa học
BMKT,Bộ môn Kinh tế
BMĐD,Bộ môn Điều dưỡng
BML,Bộ môn Luật
BMXD,Bộ môn Xây dựng
TTCNSTH,Trung tâm Công nghệ Sau thu hoạch
BMTL,Bộ môn Tâm lý - Công tác xã hội
BML,Bộ môn Luật
BMKTO,Bộ môn Kế toán
BMKTO,Bộ môn Kế toán
BMSPTH,Bộ môn Sư phạm Tiểu học
BMKTO,Bộ môn Kế toán
BMXNYK,Bộ môn Xét nghiệm Y Khoa
YD,Khoa Y - Dược
BMQT,Bộ môn Quản trị
BMDDL,Bộ môn Điện - Điện  lạnh
KHCB,Khoa Khoa học cơ bản
BMSPTH,Bộ môn Sư phạm Tiểu học
KRHM,Khoa Răng Hàm Mặt
BMTL,Bộ môn Tâm lý - Công tác xã hội
YD,Khoa Y - Dược
BMDTVT,Bộ môn Điện tử - Viễn thông
BMTTPTNT,Bộ môn Trồng trọt và Phát triển Nông thôn
TTCNSTH,Trung tâm Công nghệ Sau thu hoạch
BML,Bộ môn Luật
KHCB,Khoa Khoa học cơ bản
BMCKDL,Bộ môn Cơ khí - Động lực
KRHM,Khoa Răng Hàm Mặt
BMKTO,Bộ môn Kế toán
BMYTCC,Bộ môn Y tế Công cộng
P.ĐT,Phòng Đào tạo
BMSPNV,Bộ môn Sư phạm Ngữ văn
BMĐD,Bộ môn Điều dưỡng
TTCNSTH,Trung tâm Công nghệ Sau thu hoạch
BMXD,Bộ môn Xây dựng
BMSPMN,Bộ môn Sư phạm Mầm non
BMTA,Bộ môn Tiếng Anh
TTCNSTH,Trung tâm Công nghệ Sau thu hoạch
BMTA,Bộ môn Tiếng Anh
"QLNN,QTVP&","Khoa Quản lý Nhà nước, Quản trị Văn phòng và Du lịch"
BML,Bộ môn Luật
BMDDL,Bộ môn Điện - Điện  lạnh
KHCB,Khoa Khoa học cơ bản
"KQT_TRUONG.KT,L",Khoa Quản trị
BMTS,Bộ môn Thủy sản
BMCKDL,Bộ môn Cơ khí - Động lực
BMDDL,Bộ môn Điện - Điện  lạnh
BMDDL,Bộ môn Điện - Điện  lạnh
BMSPMN,Bộ môn Sư phạm Mầm non
KHCB,Khoa Khoa học cơ bản
BMCNTY,Bộ môn Chăn nuôi Thú y
BMDDL,Bộ môn Điện - Điện  lạnh
BMTS,Bộ môn Thủy sản
BMTUD,Bộ môn Toán ứng dụng
TTCNSTH,Trung tâm Công nghệ Sau thu hoạch
BMSPNH,Bộ môn Sư phạm Nhạc họa
BMKTO,Bộ môn Kế toán
BMTS,Bộ môn Thủy sản
YD,Khoa Y - Dược
KHCB,Khoa Khoa học cơ bản
YD,Khoa Y - Dược
BMTTPTNT,Bộ môn Trồng trọt và Phát triển Nông thôn
YD,Khoa Y - Dược
BMTL,Bộ môn Tâm lý - Công tác xã hội
BMTTPTNT,Bộ môn Trồng trọt và Phát triển Nông thôn
BMD,Bộ môn Dược
YD,Khoa Y - Dược
BMSPMN,Bộ môn Sư phạm Mầm non
BMUDCDLHVL,Bộ môn Ứng dụng chất dẻo linh hoạt & Vật liệu Nano
BMSPNV,Bộ môn Sư phạm Ngữ văn
BMCNTT,Bộ môn Công nghệ Thông tin
KT-CN,Khoa Kỹ thuật và Công nghệ
"QLNN,QTVP&","Khoa Quản lý Nhà nước, Quản trị Văn phòng và Du lịch"
BMKTO,Bộ môn Kế toán
HHUD,Khoa Hóa Học ứng Dụng
YD,Khoa Y - Dược
BMDTVT,Bộ môn Điện tử - Viễn thông
BMĐD,Bộ môn Điều dưỡng
BML,Bộ môn Luật
BMCNTT,Bộ môn Công nghệ Thông tin
TTCNSTH,Trung tâm Công nghệ Sau thu hoạch
BMTA,Bộ môn Tiếng Anh
BMTS,Bộ môn Thủy sản
BMDDL,Bộ môn Điện - Điện  lạnh
BML,Bộ môn Luật
BMDDL,Bộ môn Điện - Điện  lạnh
BMCKDL,Bộ môn Cơ khí - Động lực
BMDDL,Bộ môn Điện - Điện  lạnh
BMKTO,Bộ môn Kế toán
BMĐD,Bộ môn Điều dưỡng
TTCNSH&MT,Trung tâm Công nghệ Sinh học
BMXD,Bộ môn Xây dựng
KHCB,Khoa Khoa học cơ bản
KHCB,Khoa Khoa học cơ bản
BMQTVPTV,Bộ môn Quản trị Văn phòng - Thư viện
BMKTO,Bộ môn Kế toán
